Exchange,01/11/2021,02/11/2021,03/11/2021,04/11/2021,05/11/2021,06/11/2021,07/11/2021,08/11/2021,09/11/2021,10/11/2021,11/11/2021,12/11/2021,13/11/2021,14/11/2021,15/11/2021,16/11/2021,17/11/2021,18/11/2021,19/11/2021,20/11/2021,21/11/2021,22/11/2021,23/11/2021,24/11/2021,25/11/2021,26/11/2021,27/11/2021,28/11/2021,29/11/2021,30/11/2021,01/12/2021,02/12/2021,03/12/2021,04/12/2021,05/12/2021,06/12/2021,07/12/2021,08/12/2021,09/12/2021,10/12/2021,11/12/2021,12/12/2021,13/12/2021,14/12/2021,15/12/2021,16/12/2021,17/12/2021,18/12/2021,19/12/2021,20/12/2021,21/12/2021,22/12/2021,23/12/2021,24/12/2021,25/12/2021,26/12/2021,27/12/2021,28/12/2021,29/12/2021,30/12/2021,31/12/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022
binance,60911.11,63219.99,62896.48,61395.01,60937.12,61470.61,63273.59,67525.83,66947.66,64882.43,64774.26,64122.23,64380,65519.1,63606.74,60058.87,60344.87,56891.62,58052.24,59707.51,58622.02,56247.18,57541.27,57138.29,58960.36,53726.53,54721.03,57274.88,57776.25,56950.56,57184.07,56480.34,53601.05,49152.47,49396.33,50441.92,50588.95,50471.19,47545.59,47140.54,49389.99,50053.9,46702.75,48343.28,48864.98,47632.38,46131.2,46834.48,46681.23,46914.16,48889.88,48588.16,50838.81,50820,50399.66,50775.49,50701.44,47543.74,46464.66,47120.87,46216.93,47722.65,47286.18,46446.1,45832.01,43451.13,43082.31,41566.48,41679.74,41864.62,41822.49,42729.29,43902.66,42560.11,43059.96,43084.29,43071.66,42201.62,42352.12,41660.01,40680.91,36445.31,35071.42,36244.55,36660.35,36958.32,36809.34,37160.1,37716.56,38166.84,37881.76,38466.9,38694.59,36896.36,37311.61,41574.25,41382.59,42380.87,43839.99,44042.99,44372.72,43495.44,42373.73,42217.87
binance-us,60929.37,63285.7,62911.42,61455.94,61031.3,61523.47,63293.65,67569.58,66938.97,64936.66,64813.92,64147.7,64399.9,65512.69,63634.94,60092.73,60392.66,56907.94,58104.45,59760.56,58656.74,56279.99,57557.02,57160.32,58985.71,53779.26,54810.63,57335.8,57842.83,56966.54,57228.53,56529.07,53639.8,49237.14,49464.44,50527.82,50626.15,50506.86,47576.25,47171.89,49405.28,50090.61,46744.7,48382.64,48874.24,47627.83,46153.29,46849.78,46681.41,46908.29,48928.46,48624.69,50846.87,50836.77,50431.42,50792.37,50733.72,47545.37,46477.16,47134.28,46202.09,47727.8,47302.83,46422.29,45830.46,43437.26,43088.07,41523.72,41677.71,41876.34,41819.69,42728.93,43923.76,42580.84,43085.35,43086.44,43107.83,42222.27,42358.97,41670.85,40695.39,36458.86,35084.36,36277.58,36681.29,36977.91,36814.21,37185.89,37778.91,38180.51,37911.28,38503.13,38720,36931,37332.71,41580.92,41417.74,42401.99,43868.86,44087.73,44412.03,43519.29,42404.06,42209.74
bisq,60851.0945,68702.8673,61783.7639,65191.8142,67585.3998,63329.7008,63309.2709,69579.3541,69443.3364,64702.9595,68120.6668,67592.9711,67628.5712,66848.2674,64356.8949,69420,62000,57870.1181,60771.5497,59871.4521,70860.7265,66102.4949,58038.385,57500,62115.3306,54758.6672,57566.1432,64734.7785,58069.9484,57374.5186,59273.9387,61065.1187,56563.4162,52799.2315,49197.1773,52266.235,54592.7821,51376.5787,49847.2183,48595.5188,48676.035,61409.3216,47378.6308,49607.5647,52918.6946,47787.645,48756.3374,46983.3177,48545.2116,51587.3496,50702.9579,48733.5826,51063.2994,52361.0275,53000.2395,50742.8065,53895.8687,49733.2304,47893.139,48812.5751,48792.2341,48063.9497,48745.1062,46764.843,46898.2162,45034.0211,44171.462,44711.8691,47619.1136,43576.8243,44460.9971,44541.4883,45740.1844,44209.9231,45383.4377,43551.9052,44114.2049,45449.7417,44263.2801,43770.0651,41124.3899,38484.8466,36722.1888,37720.6508,38663.5731,38476.0598,37650.3683,37941.7923,40488.2305,39794.1337,39740.8337,40244.6341,39252.608,37440.2896,37868.2333,41316.194,44242.2751,43166.7226,45283.9946,44289.8717,45588.6677,47024.6089,55132.6846,41374.7921
bitbay,63246,60301.93,63986.05,62438.13,63780.87,62191.73,62999.01,67501.23,67148.06,63882.93,64001.32,66794.35,68298.41,67924.83,63000.07,60001,61797.99,56750.02,57000.29,60738.06,59106.76,56800,58882,57308.57,59999.98,54500.01,56666,54000.09,58776.98,57450.02,58777.73,54684.44,54100,56987.98,51704.69,52177.7,52893.66,52859.97,47612.42,47317.75,47064.5,51889.64,46613,49200,49989.16,47960,46994.44,47342.21,48530.54,47183.8,49196.49,48539.07,52112.71,52112.67,50737.86,52115.1,51220,50102.49,46712.3,48989.99,46641.17,48579.99,47270.69,46440,46126.56,43245.69,43044,42000,41220,46960.18,42597.22,44000,45145.62,42000.02,43989.01,43000,43988.95,42096.01,42998.58,43530,41007.56,40693.77,35999.99,36694.86,37999.99,39975.05,36220,36011.01,36457.28,38900,38799.99,38899.97,39636.16,37440,37566.04,39614.67,42810.2,42978.32,44600,44432.99,45496.99,45886.99,42495.4,42440
bitfinex,60949,63249,62900,61414.88951,61005,61495.04389,63263,67526,66938,64871,64791,64134,64398,65474,63561,60068,60352.81596,56963,58130,59766,58691,56281.0637,57577,57166,59015.78236,53839,54791,57356,57840,56966,57240,56517,53687,49249,49474,50513,50634,50503.4347,47610.10672,47208,49426,50123,46748.99252,48399,48901,47665,46180.73115,46873,46704,46901,48923,48626,50833,50830,50435.24411,50797,50690,47556,46465,47156,46218,47747,47302,46448,45834,43455,43103.47161,41548,41682,41856,41847,42741.74664,43909,42583,43091,43069,43084,42223,42376.97315,41676,40692.20981,36467,35104.74628,36308,36702,36986,36828.54218,37194,37759.82719,38179.91123,37914.38083,38500,38713,36913,37366,41588,41438,42412,43865,44077,44431,43545,42418,42244
bitflyer,61078.3,63236.17,63195.88,61505.12,61047.93,61524.73,63260.87,67559.4,66979.25,64957.4,64850.79,64180.07,64482.63,65435.15,63952.7,60112.33,60467.96,56954.06,58134.99,59730.84,58792.34,56369.18,57616.19,57181.74,58929.72,53752.83,54630.62,57137.08,57893.89,56956.09,57201.46,56497.31,53558.3,49278.69,49440.15,50485.9,50606.69,50507.35,47641.73,47205.66,49373.85,50152.54,46719.42,48335.13,48834.7,47610.04,46152.46,46846.72,46701.78,46908.62,48917.41,48618.35,50778.99,50810.14,50415.26,50760.91,50672.4,47540.42,46447.82,47152,46215.44,47730.18,47354.82,46454.47,45885.66,43511.08,43096.42,41504.3,41695.4,41860.02,41745.19,42711.48,43921.2,42535.91,43066.91,43101.87,43086.2,42195.32,42369.43,41703.01,40697.24,36494.57,35058.41,36298.33,36673.61,36980.17,36835.27,37175.96,37752.1,38189.2,37925.1,38482.26,38722.25,36933.21,37295.64,41573.14,41432.59,42416.88,43841.3,44093,44394.81,43545.07,42373.38,42222.77
bitstamp,60922.85,63260,62930.72,61457.25,61031.91,61542.44,63300,67559,66945.72,64921.43,64821.33,64158.41,64417.52,65509.87,63606.09,60142.31,60373.65,56917.66,58128.55,59768.54,58678.47,56294.11,57579.99,57185.06,58990.14,53789.35,54774.66,57338.55,57845.12,56974.12,57251.59,56547.96,53743.69,49234.97,49463.22,50555,50627.32,50543.3,47593.12,47142.42,49400.54,50124.38,46725.02,48389.96,48876.84,47663.42,46210.92,46881.87,46704.67,46915,48929.86,48618.99,50850,50841.48,50442.22,50791.21,50718.11,47543.3,46483.36,47150.71,46214.37,47777.42,47350.22,46439.89,45820,43435.8,43097.6,41535.66,41690.77,41875.81,41845.42,42736,43933.5,42571.94,43102.35,43102.01,43107.7,42255.07,42377.4,41683.21,40736.05,36495.46,35091.11,36293.62,36724.99,36975.91,36829.32,37208.36,37748.36,38192.65,37941.82,38491.92,38733.04,36923.5,37320.11,41579.57,41427.72,42420.24,43869.04,44091.56,44426.84,43524.6,42406.19,42241.11
bittrex,60978.185,63232.443,62946.762,61452.76,61022.84,61522.652,63327.6,67556,66918.461,64986.34,64802.52,64162.255,64400.879,65511.844,63605,60087.541,60392.56,56935.78,58110.8,59748.768,58654.368,56306.597,57570.66,57201.562,58967.22,53783.28,54792.084,57354.8,57847.913,56929.294,57248.338,56547.898,53721.196,49297.678,49460.972,50533.052,50637.94,50525.883,47566.047,47173.7,49381.41,50118.687,46751.791,48359.539,48862.1,47645.256,46158.336,46820.231,46618.197,46905.693,48908.523,48599.24,50804.8,50797.813,50377.63,50793.595,50686.203,47531.732,46477.365,47133.522,46196.946,47727.21,47316.047,46440.247,45848.921,43419.933,43132.26,41526.139,41668.585,41845.274,41831.81,42714.389,43904.233,42591.022,43093.209,43121.91,43102.342,42251.709,42374.953,41674.464,40729.236,36494.999,35074.82,36268.332,36679.42,36980.236,36824.717,37187.984,37755.751,38181.328,37956.102,38501.834,38732.166,36917.16,37305.392,41586.759,41436.58,42420.419,43870.494,44075.873,44449.246,43523.592,42393.95,42242.976
cexio,60982.7,63176.2,63007.9,61392.3,61024,61462,63223,67533.1,66926.5,64858.5,64923.2,64241.9,64460.8,65420.6,63621,60205.8,60433,56938.4,58131,59805,58735.6,56435.5,57667.5,57240.9,58980.9,53722.1,54775,57244.1,57881.7,57038.6,57201.5,56513.6,53631.8,49230.6,49452.6,50570.7,50693.5,50519.7,47670,47184.2,49389.7,50170.1,46824.3,48490.4,48980.3,47693.4,46279.1,46882.5,46717.8,46932.4,49007,48657,50795.7,50801.7,50476,50801.4,50758.7,47650,46548.8,47202.9,46191.4,47809.1,47354.1,46510.5,45935.8,43503,43182.4,41577.2,41708.1,41870.9,41848.5,42752.3,43973.1,42554.4,43089.6,43124.1,43121.7,42236.4,42391.4,41729.5,40725.7,36485.3,35046.8,36308.8,36707.2,36966.8,36854.9,37164.7,37769.7,38160.5,37940.2,38492.1,38729,36967.3,37305.2,41602.3,41446.1,42421.5,43866.1,44112.1,44397.3,43541.8,42410.3,42238.2
coinbase-pro,60949.54,63266.51,62935.41,61444.5,61006.15,61539.31,63309.13,67554.84,66944.66,64912.2,64807.59,64147.9,64400.01,65505.02,63624.59,60107.98,60351.51,56898,58122.16,59760.76,58671.21,56280.81,57566.85,57162.66,58987.27,53757.67,54759.05,57317.17,57838.06,56987.97,57226.5,56521.46,53638.04,49241.12,49484.22,50529.56,50625.48,50519.68,47568.43,47170.94,49407.75,50089.64,46727.89,48367.43,48884.78,47634.22,46166.5,46859.46,46687.19,46926.07,48914.7,48608.62,50842.2,50851.38,50428.31,50801.79,50717.77,47543.09,46471.24,47122.08,46211.24,47733.43,47299.07,46459.56,45814.61,43436.04,43083.76,41565.18,41684.84,41876.52,41824.07,42753.44,43920.37,42581.65,43090.72,43098.2,43104.34,42218.01,42369.74,41674.27,40670.97,36456.94,35066.43,36282.47,36693.32,36980,36840.63,37188.37,37741.9,38191.1,37901.35,38491.93,38716.88,36923.39,37329.91,41614.64,41404.85,42415.16,43868.07,44085.59,44416.35,43527.71,42386.47,42244.97
