Exchange,01/11/2021,02/11/2021,03/11/2021,04/11/2021,05/11/2021,06/11/2021,07/11/2021,08/11/2021,09/11/2021,10/11/2021,11/11/2021,12/11/2021,13/11/2021,14/11/2021,15/11/2021,16/11/2021,17/11/2021,18/11/2021,19/11/2021,20/11/2021,21/11/2021,22/11/2021,23/11/2021,24/11/2021,25/11/2021,26/11/2021,27/11/2021,28/11/2021,29/11/2021,30/11/2021,01/12/2021,02/12/2021,03/12/2021,04/12/2021,05/12/2021,06/12/2021,07/12/2021,08/12/2021,09/12/2021,10/12/2021,11/12/2021,12/12/2021,13/12/2021,14/12/2021,15/12/2021,16/12/2021,17/12/2021,18/12/2021,19/12/2021,20/12/2021,21/12/2021,22/12/2021,23/12/2021,24/12/2021,25/12/2021,26/12/2021,27/12/2021,28/12/2021,29/12/2021,30/12/2021,31/12/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022
binance,2737282805,2909221038,2713389500,2218138027,1943346371,1556774944,1585744720,3575716171,3014326962,4335575753,2415537334,2844286548,1442441614,1658473781,2460915923,4705744041,2767802055,3644824179,2896189976,1982718831,1886578155,2968622334,2836965571,2246374244,2455658858,3649353860,1623173123,1982198374,2313371348,2823644073,2584840501,2127110102,3246198506,5495712062,2231486106,2851528919,1950573500,1925458787,1841474999,2135023723,1397524636,1292315884,2423888501,1887412411,2487012309,1551200654,2015966350,1165205136,1384958598,1663363118,1827234149,1322418595,1738129831,1611731210,971491029.1,1132200242,1472065236,2242102221,1873785571,1428755720,1650715978,924155159.6,866610995.6,1292203508,1649170424,2334288545,1674466154,2293851015,1367233495,952830064.5,2088111340,1574803609,1470906438,1515944525,1392000443,946488263.5,887203134.1,1169381684,1228459687,1327478459,1784801200,3405501703,3207531048,1572414639,3192041586,1799157254,2627491977,1925920128,1560203931,989652387,812750216.6,1386754529,1334266167,1353093949,1179502839,2526572562,1349805516,934168802.9,2204523610,2847485971,1512500139,2772188373,1937866769,1123136005
binance-us,81252078.52,82222225.35,68718987.47,51259571.18,55848661.98,35962769.87,34597641.41,88426629.52,74733415.5,125943936.4,54280726.75,73890318.91,27478189.21,39595007.17,50776060.45,128362012.5,56925187,116929873.6,72546950.78,37901780.4,36092603.05,77160047.01,67381037.68,53531562.88,46930201.84,88747511.28,35039566.62,44142688.08,47347265.37,66123433.13,51558107.67,54495093.84,87344348.2,141791397.6,58485409.45,81674412.18,46697879.81,44733919.02,53322137.81,61378053.97,41275751.19,34290483.2,75383176.27,49278229.83,70743230.81,37478170.94,48775664.8,29409010.94,34276559.47,52488689.3,47013484.32,28144438.78,44203793.18,31525716.76,18709455.05,31825880.11,35135674.43,49592478.38,40530660.55,31906113.14,50331203.92,23038124.03,21725043.34,33706484.79,41330597.02,73570593.59,41111893.1,65784649.8,43681510.64,28564054.02,71353777.67,45932326.88,32476281.16,40762004.83,34715958.57,24177393.15,15398656.92,23354662.64,25902776.78,44065525.34,47573918.63,108971675.2,75564464.54,49339661.88,96240419.77,60594127.84,68760254.49,50098821.21,40080551.01,26344167.81,19566775.5,37851714.39,45893064.9,35291606.08,28662226.27,48333997.91,27453826.76,17258423.78,50590020.89,56469867.9,32941827,58306516.5,49242467.5,17238978.29
bisq,40240.94983,49627.77927,25459.28985,22163.99176,18994.49401,24904.04567,21171.04123,38612.72292,21385.33877,40660.91985,41117.80455,16731.18491,19140.07529,16727.88307,21191.24891,30602.79883,25910.8316,32378.55996,24111.85748,25658.0683,13166.93433,7525.287468,17069.88564,36450.30955,16040.53065,15773.82255,20543.79426,13888.06012,27173.21101,35575.95828,26199.037,30748.72003,44683.19754,16422.63449,32861.0102,25669.23602,14624.36439,20909.58587,11139.61771,14649.40464,15411.54568,14022.05807,30737.73671,29564.09366,24895.68186,27900.22072,29202.99568,22451.61846,9697.926883,18488.2457,18658.17497,28269.77408,25198.79413,14892.44488,24676.06326,11850.88148,28989.71659,24296.7944,31250.42823,17121.96897,31914.13825,25504.45482,23072.86358,19123.12808,18611.18386,35414.99398,30534.93154,27499.11052,16527.88695,19344.82673,15288.43883,21156.97398,40808.71418,31210.1963,35054.28611,23679.17931,13027.82602,16686.70266,35585.9756,24964.33583,20767.95125,40092.70209,50334.9957,14853.15891,18486.3708,34760.91534,34100.88242,26814.53011,18324.00626,25972.27867,22674.08814,27368.02196,36302.49257,32973.87249,33960.72733,21612.08588,13602.34247,18371.40141,26739.90532,24311.93923,31987.75456,18082.0116,30305.49817,12984.19189
bitbay,40393.88523,15058.62392,8798.2218,1384.854221,2713.633804,23901.62315,17592.09657,38575.9693,6011.739477,14557.96804,24250.74345,17015.46751,2989.679846,3344.131307,42768.14228,28064.86012,7556.086444,31821.46676,2860.809213,28294.13397,4084.819855,9715.008857,808.3658921,1180.041007,13481.33878,15890.46795,10586.82008,28829.47059,24381.46053,20384.94361,2221.370706,7113.084173,21827.56847,38448.30969,4988.442293,2731.025289,14112.72073,4831.964391,6482.078476,4059.737594,142.6249813,7405.079585,5870.200477,6308.077362,7015.885253,776.2781683,10478.94166,385.1104236,5707.079083,11990.49196,3039.123812,1440.534931,2657.134446,905.1912814,2498.973223,5131.834092,4941.300579,8477.264484,2763.501667,6033.642622,34738.20634,91.86955545,4738.191726,3422.493448,436.997255,13707.01244,32566.63735,10012.37942,6482.006532,16826.27187,2705.617725,2233.836967,3366.047818,4645.967071,92.45712347,181.5361215,196.0560354,1617.069476,12.51696262,878.2405756,27691.49991,43122.57095,26148.90736,347.4577992,42158.49954,7968.194915,47718.30991,23398.04702,23822.05791,3907.208558,6177.502284,30949.3264,7634.501468,27666.16514,2694.844335,12442.59598,28689.65573,1410.007315,2979.290166,34083.00866,1568.283382,1157.291891,3227.693304,1782.410994
bitfinex,295055926.8,328077771.5,297235637.1,180656351.3,138666054.8,178103926.3,201171278.9,591735261.1,436460093,810378462.4,185886706.7,326612478.3,119929707.2,141541716.3,342063987.1,794452938.6,402244392.7,673866001.5,295435749,184024427.4,144814572.2,505662117.8,484484734.4,277621047.9,232458945,671757416.4,169343674.2,272941328.3,291920437,372472811.5,298161025.4,249463706.8,584592910.7,1085099090,234337019.7,392514660.2,199662405.8,201624288.9,259286068.3,393853209.5,255908741.8,192365108.6,416303899.4,258726307.7,339505338.2,171413552.7,273756275.9,174321468.7,247842932.9,262582280.5,228184413.4,153909529.1,219575383.3,132587424.7,101085592.4,146271138.4,180333597,265474529.3,194978526.6,150491478.4,201112170.3,102884164.7,87205326.27,120251594.6,176165699.8,311712151.2,146466102.1,309473463.2,171660030.9,155908974.7,393718669.7,202189771.8,163820543.4,162027869.1,183558619.3,137990388.3,68192790.18,123608087.3,181286225.6,270345562.2,215828966.2,620668772.4,620550959.2,309436705.6,800720098.8,324415384.9,400997431.8,252362611.5,169246182.7,134848182.1,77624872.09,180000540.2,166212371.4,157973666.7,185206538.8,323344374.6,107959445.6,98994703.51,239218715.2,334650692.8,163431897,326643779.7,241833787.5,112660841.3
bitflyer,11699441.1,12019688.6,2934349.7,12844555.84,17974053.45,4447247.333,5173335.597,9727191.706,17907899.69,37773334.19,24119617.88,27853968.52,7043901.578,13100467.94,6829687.128,29738750.1,4771116.982,22217625.69,11647518.87,9932734.497,10564094,15686444.9,15370263.21,14407830.37,10229243.61,22692598.28,4597048.474,7884964.371,8958102.556,22561448.95,24000199.11,20541417.32,28403703.87,7204404.677,18007103.97,17929691.73,10750214.59,18043741.43,20061104.11,27686468.11,19588856.41,11930775.75,30688521.91,18522496.53,15022857.29,12485728.79,20679731.24,11981748.36,11617471.48,20566610.55,15055256.19,7945289.116,16283928.59,12495129.48,6028006.708,11304930.93,9799923.494,18680824.89,16462128.03,19529943.35,13227687.16,7725593.313,6132538.121,12921057.34,10982051.49,21791920.81,9365273.012,16883174.24,11355116.4,8830688.994,16727858.96,8506498.599,11270974.68,10147862.4,7347817.125,8657944.737,7091160.494,7618044.112,6318221.411,10750963.83,12757720.1,35982413.17,27035586.96,16656774.61,36093959.54,24507287.72,21351187.54,9768645.693,15938586.85,10253101.2,8088189.044,13862103.08,16245022.58,13196316.93,11696742.12,17045893.42,8862084.058,8106510.487,12619525.31,15342200.82,10397001.68,19999639.14,17353404.08,8029818.234
bitstamp,153708031.4,208355243.1,134510431.5,93149175.21,96438659.31,77204533.69,69412918.18,178572120.1,144201083.1,226538188.9,102804291,160984319,53221910.43,80434046.5,130181649.8,281364722.8,222313875.1,361556463.3,187454444.8,68912139.77,53010302.68,168759395.9,155745236.4,102584446.4,79435931.57,288843665.1,74208291.86,75672142.36,119291953.8,204610739.8,144337041,156334874.5,163062281,479685055.5,253246233,227512712.9,87848894.86,80078043.09,126156927.7,130474135.4,63938881.03,61515288.04,159001640.6,95364989.57,124671560.1,70668618.06,96952594.14,38480234.16,60320950.37,80048570.95,81196232.26,64008636.72,84769304.53,73902451.59,41793166.12,50920081.44,56409494.19,107981661.7,99069732.1,101722129.5,84938024.6,34892279.31,33172222.36,53217377.18,85207685.4,153464388,105559642.3,124769147.9,65571971.41,64383595.8,143763220.2,103316287.8,108773560.3,86644368.48,59167763.37,30510413.27,26812366.03,44999001.86,68522210.33,69791918.46,102506991,237130520,159444215.6,90093310.58,219551166.3,102191104.3,137769604,112809180.6,89728837.8,49118060.13,26891235.57,75691353.7,80102148.15,63274384.7,59698007,153045119.8,78557872.31,35661686.2,112389512.1,113681999.9,71454186.61,119668410.3,93471955.07,37756118.71
bittrex,10715200.3,11006061.13,11903082.73,8781263.561,9129120.827,7563746.536,5396530.678,17573840.47,17946607.36,23128092.69,10650070.28,11914390.71,7908851.702,7483978.409,10661484.06,25179923.05,12386364.92,20326260.87,11978341.58,7982800.021,10787976.22,11410337.68,15065011.23,12608290.82,10235482.63,17528370.11,6287268.615,7405850.738,7189722.731,11128701.92,8576210.963,7011006.583,13038543.08,36359657.76,8946429.165,8790405.209,7956286.844,9104520.688,13263212.85,8288442.471,6917519.846,3407536.062,10588106.96,6942584.167,9254448.891,4485335.845,7717532.377,4040125.416,4187589.221,5548143.643,7993015.944,4995420.424,7474430.592,4874531.951,2413525.83,6621063.073,4813582.48,6797354.36,10511244.43,5623243.247,9396553.449,4134990.85,3979977.261,4157487.258,4420553.925,8768188.74,6443434.187,11628503.3,5967559.908,3816012.051,7846032.01,6329881.499,5829146.387,10148564.86,6467324.37,3156102.341,2035323.721,3400940.365,3632134.835,3959259.652,6567303.337,13000758.73,9970170.002,5927187.065,10430293.99,6902528.775,9420482.545,6379247.182,6448291.88,3593768.248,3393885.98,6425915.398,5815566.375,7125002.776,4305703.017,7961074.665,5054631.316,2705074.382,7035585.673,7431315.502,4172579.615,7723171.885,9336069.729,3441360.73
cexio,5985441.242,5555007.118,5562620.161,4576628.075,4024674.431,2989179.201,2873524.444,7494739.939,5725087.522,11967646.45,4430518.016,6974818.708,2671442.897,3247385.869,4048691.493,13293253.12,7949011.69,9807243.51,6029974.455,3244432.017,3031145.553,8035899.235,6850970.024,5141373.681,4064295.88,10214129,4221852.525,5753139.437,4799015.193,9400335.786,6011732.973,4734880.596,9512345.316,13285230.56,1984246.533,3404354.066,1424728.821,1602139.126,1878304.166,2244676.034,1610225.119,1178653.014,2945181.202,1123843.887,1769249.941,1125417.733,1613838.963,774528.3493,823541.9213,946900.1227,1643555.762,1014099.286,1316846.76,1231336.814,802409.8556,781615.8332,1169183.906,1627858.669,2269169.73,867750.5447,2020393.661,927398.0124,936224.2494,1532128.517,2033521.999,4447351.453,2610604.261,7695189.197,2523053.444,1406355.711,4642302.648,2281682.377,2184050.118,2136103.11,1880239.345,1029558.151,973800.2164,1644038.314,1821489.547,2297998.963,2548633.557,6511284.492,6662229.939,3320946.544,8287171.384,3048175.114,4972092.665,3451353.476,2827212.46,2074949.625,1380399.609,2042876.443,2461042.938,2111864.431,1975494.519,4124515.22,1985131.709,1988200.614,3245182.11,4111732.683,2405498.46,4967067.072,4145260.099,1922784.198
coinbase-pro,717733966.2,860384603,811153512.1,681849758.7,650633955.4,387789463.5,348351782.9,1160167374,1011767481,1270553039,665817705,872303460.2,382911713.7,392353843.9,675154953.1,1515070751,1250772204,1566456097,1062501744,444937585.4,394551655.9,909540734.2,798628059,709045113.1,622305752,1445714620,431691526.5,451911484.1,776495726.3,1036789178,953417055.3,734876067.2,1074924710,1892086105,1066745669,1129199184,720097308.5,659481978.6,767542271.1,755901110.7,534967167.7,518815433.3,988327442.8,808897002.8,1041380077,617124108.2,868748379.6,380313280.6,449719758.8,744974799.7,749219613.6,526594627.6,826022399.7,597404129.6,281975054.1,344639769.6,594029533.5,1126566954,964102211.8,1292084948,893758806.7,445689698.9,322844681.6,505433391.5,758184159.4,1129008256,895240858.2,1093006431,641536487,464791710.1,1039706442,832505092.2,706343564.5,639387068.4,578807081.2,272879149.9,279335422.8,465408532.7,571677278.5,656057030.2,753074107.1,1945930446,1063265529,617922091.9,1352109389,791284538.6,1031464907,857154953,842058604.5,496219379.8,403278926.7,742114996.8,632665981.1,520454973.5,488177075.9,887147364.5,464618993.4,269113353.4,867603990,893411654.8,562510504.1,890899630.4,834416080.6,366899050.4
