"","date","exchange","price"
"1","X01.11.2021","coinbase-pro",60949.54
"2","X02.11.2021","bitstamp",63260
"3","X03.11.2021","coinbase-pro",62935.41
"4","X04.11.2021","coinbase-pro",61444.5
"5","X05.11.2021","coinbase-pro",61006.15
"6","X06.11.2021","coinbase-pro",61539.31
"7","X07.11.2021","coinbase-pro",63309.13
"8","X08.11.2021","coinbase-pro",67554.84
"9","X09.11.2021","coinbase-pro",66944.66
"10","X10.11.2021","coinbase-pro",64912.2
"11","X11.11.2021","coinbase-pro",64807.59
"12","X12.11.2021","coinbase-pro",64147.9
"13","X13.11.2021","kraken",64393.1
"14","X14.11.2021","gemini",65499.99
"15","X15.11.2021","gemini",63623.17
"16","X16.11.2021","coinbase-pro",60107.98
"17","X17.11.2021","coinbase-pro",60351.51
"18","X18.11.2021","coinbase-pro",56898
"19","X19.11.2021","gemini",58121.99
"20","X20.11.2021","coinbase-pro",59760.76
"21","X21.11.2021","gemini",58668.83
"22","X22.11.2021","coinbase-pro",56280.81
"23","X23.11.2021","coinbase-pro",57566.85
"24","X24.11.2021","coinbase-pro",57162.66
"25","X25.11.2021","gemini",58977.69
"26","X26.11.2021","coinbase-pro",53757.67
"27","X27.11.2021","coinbase-pro",54759.05
"28","X28.11.2021","kraken",57300
"29","X29.11.2021","coinbase-pro",57838.06
"30","X30.11.2021","kraken",56980.7
"31","X01.12.2021","coinbase-pro",57226.5
"32","X02.12.2021","coinbase-pro",56521.46
"33","X03.12.2021","coinbase-pro",53638.04
"34","X04.12.2021","gemini",49238.7
"35","X05.12.2021","gemini",49477.25
"36","X06.12.2021","coinbase-pro",50529.56
"37","X07.12.2021","coinbase-pro",50625.48
"38","X08.12.2021","kraken",50515.1
"39","X09.12.2021","coinbase-pro",47568.43
"40","X10.12.2021","gemini",47156.04
"41","X11.12.2021","gemini",49402.3
"42","X12.12.2021","coinbase-pro",50089.64
"43","X13.12.2021","bitstamp",46725.02
"44","X14.12.2021","coinbase-pro",48367.43
"45","X15.12.2021","kraken",48881.3
"46","X16.12.2021","kraken",47631
"47","X17.12.2021","coinbase-pro",46166.5
"48","X18.12.2021","coinbase-pro",46859.46
"49","X19.12.2021","coinbase-pro",46687.19
"50","X20.12.2021","gemini",46919.53
"51","X21.12.2021","coinbase-pro",48914.7
"52","X22.12.2021","coinbase-pro",48608.62
"53","X23.12.2021","kraken",50818.8
"54","X24.12.2021","bitstamp",50841.48
"55","X25.12.2021","coinbase-pro",50428.31
"56","X26.12.2021","kraken",50797.3
"57","X27.12.2021","kraken",50687.4
"58","X28.12.2021","coinbase-pro",47543.09
"59","X29.12.2021","coinbase-pro",46471.24
"60","X30.12.2021","coinbase-pro",47122.08
"61","X31.12.2021","coinbase-pro",46211.24
"62","X01.01.2022","coinbase-pro",47733.43
"63","X02.01.2022","coinbase-pro",47299.07
"64","X03.01.2022","kraken",46452.6
"65","X04.01.2022","coinbase-pro",45814.61
"66","X05.01.2022","bitstamp",43435.8
"67","X06.01.2022","coinbase-pro",43083.76
"68","X07.01.2022","gemini",41556.53
"69","X08.01.2022","coinbase-pro",41684.84
"70","X09.01.2022","bitstamp",41875.81
"71","X10.01.2022","coinbase-pro",41824.07
"72","X11.01.2022","gemini",42752.7
"73","X12.01.2022","coinbase-pro",43920.37
"74","X13.01.2022","bitstamp",42571.94
"75","X14.01.2022","kraken",43090
"76","X15.01.2022","coinbase-pro",43098.2
"77","X16.01.2022","coinbase-pro",43104.34
"78","X17.01.2022","coinbase-pro",42218.01
"79","X18.01.2022","coinbase-pro",42369.74
"80","X19.01.2022","coinbase-pro",41674.27
"81","X20.01.2022","coinbase-pro",40670.97
"82","X21.01.2022","coinbase-pro",36456.94
"83","X22.01.2022","coinbase-pro",35066.43
"84","X23.01.2022","coinbase-pro",36282.47
"85","X24.01.2022","coinbase-pro",36693.32
"86","X25.01.2022","coinbase-pro",36980
"87","X26.01.2022","bitstamp",36829.32
"88","X27.01.2022","coinbase-pro",37188.37
"89","X28.01.2022","coinbase-pro",37741.9
"90","X29.01.2022","gemini",38175.17
"91","X30.01.2022","coinbase-pro",37901.35
"92","X31.01.2022","coinbase-pro",38491.93
"93","X01.02.2022","coinbase-pro",38716.88
"94","X02.02.2022","gemini",36909.47
"95","X03.02.2022","kraken",37324.4
"96","X04.02.2022","gemini",41603.46
"97","X05.02.2022","coinbase-pro",41404.85
"98","X06.02.2022","coinbase-pro",42415.16
"99","X07.02.2022","kraken",43867.2
"100","X08.02.2022","kraken",44079.1
"101","X09.02.2022","coinbase-pro",44416.35
"102","X10.02.2022","coinbase-pro",43527.71
"103","X11.02.2022","coinbase-pro",42386.47
"104","X12.02.2022","gemini",42241.96
